address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0x1565f3be9881c204f470796ad29d7eeae8ab7086;427642792288523244511;431549148518169;184562899213379;246986249304790;246986249304789
0xe991c733b74ac6eabc06ed50a7ffb2be5b221874;420404607758157809639;424244845891717;181439029605250;242805816286467;242805816286466
0xf5b1ae5b41bec4ac1b6485df24f972db899f600b;419828920918086457292;423663900368664;181190573571012;242473326797652;242473326797651
0x155a53d0c1b8b4aa0ae77116f968bca8c8e7230d;407848002587380338223;411573540850588;176019825782839;235553715067749;235553715067748
0x800417f1244bffb037f177f9fc8fe1ca822425ba;399816490140810649203;403468663555493;172553570186025;230915093369468;230915093369468
0x8f791c0592db171d84167d10baa70fd6dd26705c;398098355677714472709;401734834579630;171812054408218;229922780171412;229922780171411
0xae605a4e79d7df7f8215ad703847b85a42f42bbe;398060812080324194212;401696948035584;171795851270211;229901096765373;229901096765373
0x880e9659a0bcdcf76380f52b3b4beefd988f8946;397943707103341986143;401578773348637;171745310878898;229833462469739;229833462469738
0x4fd556e95f3901e11a63f8d49d35a12db577ed4b;397942941424180240924;401578000675283;171744980425612;229833020249671;229833020249670
0xf24c2aacdd817b9dc752880b0fc52f78619bf9b8;397899440851112895447;401534102740826;171726206364579;229807896376247;229807896376246
0x33e921d9ee1821e174a4f9d786dc067fee0b6275;397864906745100737833;401499253178730;171711302068652;229787951110078;229787951110078
0x9451b29befbe06f89ac4b64e0b57a208b53cca7d;393429492912450141749;397023323507233;169797057631644;227226265875589;227226265875589
0x12b581d51c95ad0bb8824e31ce588df0429a5c0c;391577613288427560731;395154527658651;168997819859917;226156707798734;226156707798733
0xdbe31c0185ccd7b90c0c850d18de699924848e7d;389319454698128831841;392875741638086;168023239430117;224852502207969;224852502207968
0xc8e487f2d8626cb3909a5da2914259e4c7aaa7f0;384853012092768932362;388368499757699;166095603535674;222272896222025;222272896222025
0x1155cc370ee5a0246ad60d6a2dda5350ef38d775;381191923565282460436;384673968562092;164515543903910;220158424658182;220158424658181
0x5050e029fc142add49023ada888d2fc9d4a8701e;377262397202074276846;380708547451994;162819631354448;217888916097546;217888916097545
0xa2ac5662c353ea53dcb43c491076ba500a0dd5e6;367332832596980300473;370688280005060;158534210754617;212154069250443;212154069250443
0x29fa5247183ff403c2ba19a435f401c5707f2d3c;363805397696165826951;367128623311788;157011833612243;210116789699545;210116789699544
0x5f684067496855ab417c83d3e673ac4f958afa12;363158356565308104374;366475671703312;156732582355880;209743089347432;209743089347431
0xdc49838921c8690e1ebfb4f17568caf7b1ad566c;358044110006041237749;361314708423298;154525365984433;206789342438865;206789342438864
0x9300583051ce99b0e7dc9bafe76b3c508750e944;349322618677823486742;352513549548716;150761327974144;201752221574572;201752221574572
0x278a2d5b5c8696882d1d2002ce107efc74704ecf;348525429246812152629;351709078091780;150417275425468;201291802666312;201291802666312
0x61d8e97f68feae22ca735e681c0dbd0ed17fa2e8;348457264997472514280;351640291187634;150387856967569;201252434220065;201252434220065
0x8b961a604d1d06264431d2807d40db880d47905d;348357568490050973045;351539683990076;150344829757049;201194854233027;201194854233027
0x286438884aadabd18058eda12efe3fdff840eff3;348159848906684480881;351340158312605;150259497558786;201080660753819;201080660753818
0xdc02781bd75fa9102e00440a7e6176985430074d;348122378369328834516;351302345495969;150243325952169;201059019543800;201059019543800
0xbcae65851d4d372a066bb9f377bd8efece6dffd6;347132604820386862873;350303530737544;149816157579285;200487373158259;200487373158259
0xe7132cf69bfcc561514da2dd9a5f7af60f0e5a62;338385443550282432673;341476467435802;146041040886079;195435426549723;195435426549722
0x8e5dd554117dd930c8de99dda5f0b41d318cd312;338384549879793799541;341475565601969;146040655194050;195434910407919;195434910407919
0xbc9694f255256c005056f0e21c7083881a293ecd;338379865068005899793;341470837996186;146038633313964;195432204682222;195432204682222
